,processed_variants,f_measure,fitness,precision,no_model_change,variant
0,0,0.9470298458913535,0.8993890683378649,1.0,,
1,1,0.9611017065190983,0.9251162626313107,1.0,False,"(('Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled'), <InfixType.NOT_AN_INFIX: 4>)"
2,2,0.9611017065190983,0.9251162626313107,1.0,True,"(('Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled'), <InfixType.POSTFIX: 3>)"
3,3,0.9611017065190983,0.9251162626313107,1.0,True,"(('Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment'), <InfixType.PREFIX: 2>)"
4,4,0.9611017065190983,0.9251162626313107,1.0,True,"(('Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment'), <InfixType.PROPER_INFIX: 1>)"
5,5,0.9611017065190983,0.9251162626313107,1.0,True,"(('Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled'), <InfixType.POSTFIX: 3>)"
6,6,0.9611017065190983,0.9251162626313107,1.0,True,"(('Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment'), <InfixType.PROPER_INFIX: 1>)"
7,7,0.9611017065190983,0.9251162626313107,1.0,True,"(('Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment'), <InfixType.PREFIX: 2>)"
8,8,0.9665120346062959,0.9351942808914142,1.0,False,"(('Declaration SUBMITTED by EMPLOYEE', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled'), <InfixType.NOT_AN_INFIX: 4>)"
9,9,0.9739727341985914,0.9579094166463692,0.9905839760264075,False,"(('Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled'), <InfixType.NOT_AN_INFIX: 4>)"
10,10,0.9724352495363671,0.9615346767002884,0.9835858081191627,False,"(('Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled'), <InfixType.NOT_AN_INFIX: 4>)"
11,11,0.9724352495363671,0.9615346767002884,0.9835858081191627,True,"(('Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment'), <InfixType.PROPER_INFIX: 1>)"
12,12,0.9724352495363671,0.9615346767002884,0.9835858081191627,True,"(('Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled'), <InfixType.POSTFIX: 3>)"
13,13,0.9724352495363671,0.9615346767002884,0.9835858081191627,True,"(('Declaration SUBMITTED by EMPLOYEE', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment'), <InfixType.PREFIX: 2>)"
14,14,0.9724352495363671,0.9615346767002884,0.9835858081191627,True,"(('Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled'), <InfixType.NOT_AN_INFIX: 4>)"
15,15,0.825990145382835,0.9699771433209936,0.7192256303009179,False,"(('Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE'), <InfixType.NOT_AN_INFIX: 4>)"
16,16,0.8502304093654832,0.9835893200317966,0.7487164823167007,False,"(('Declaration SAVED by EMPLOYEE',), <InfixType.NOT_AN_INFIX: 4>)"
17,17,0.8502304093654832,0.9835893200317966,0.7487164823167007,True,"(('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled'), <InfixType.POSTFIX: 3>)"
18,18,0.8502304093654832,0.9835893200317966,0.7487164823167007,True,"(('Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment'), <InfixType.PREFIX: 2>)"
19,19,0.8502304093654832,0.9835893200317966,0.7487164823167007,True,"(('Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment'), <InfixType.PREFIX: 2>)"
20,20,0.8502304093654832,0.9835893200317966,0.7487164823167007,True,"(('Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment'), <InfixType.PROPER_INFIX: 1>)"
