,processed_variants,f_measure,fitness,precision,no_model_change,variant
0,0,0.9054621135035568,0.8272551591630073,1.0,,
1,1,0.8190208569536389,0.8206880348652904,0.8173604388512423,False,"(('T02 Check confirmation of receipt', 'T04 Determine confirmation of receipt', 'T05 Print and send confirmation of receipt', 'T06 Determine necessity of stop advice'), <InfixType.NOT_AN_INFIX: 4>)"
2,2,0.8190208569536389,0.8206880348652904,0.8173604388512423,True,"(('Confirmation of receipt', 'T02 Check confirmation of receipt', 'T04 Determine confirmation of receipt', 'T05 Print and send confirmation of receipt', 'T06 Determine necessity of stop advice'), <InfixType.NOT_AN_INFIX: 4>)"
3,3,0.8190208569536389,0.8206880348652904,0.8173604388512423,True,"(('T02 Check confirmation of receipt', 'T04 Determine confirmation of receipt', 'T05 Print and send confirmation of receipt', 'T06 Determine necessity of stop advice', 'T10 Determine necessity to stop indication'), <InfixType.NOT_AN_INFIX: 4>)"
4,4,0.8176432020709231,0.8179261610003652,0.8173604388512423,False,"(('Confirmation of receipt',), <InfixType.NOT_AN_INFIX: 4>)"
5,5,0.6239238003102315,0.9568394267687558,0.4628746287462875,False,"(('Confirmation of receipt', 'T06 Determine necessity of stop advice', 'T10 Determine necessity to stop indication', 'T02 Check confirmation of receipt', 'T04 Determine confirmation of receipt', 'T05 Print and send confirmation of receipt'), <InfixType.NOT_AN_INFIX: 4>)"
6,6,0.6239238003102315,0.9568394267687558,0.4628746287462875,True,"(('Confirmation of receipt', 'T02 Check confirmation of receipt', 'T06 Determine necessity of stop advice', 'T10 Determine necessity to stop indication', 'T04 Determine confirmation of receipt', 'T05 Print and send confirmation of receipt'), <InfixType.NOT_AN_INFIX: 4>)"
7,7,0.6239238003102315,0.9568394267687558,0.4628746287462875,True,"(('Confirmation of receipt', 'T02 Check confirmation of receipt', 'T04 Determine confirmation of receipt', 'T06 Determine necessity of stop advice', 'T10 Determine necessity to stop indication', 'T05 Print and send confirmation of receipt'), <InfixType.NOT_AN_INFIX: 4>)"
8,8,0.6640532863745185,0.9595593633888689,0.5077014538182998,False,"(('T02 Check confirmation of receipt', 'T06 Determine necessity of stop advice', 'T10 Determine necessity to stop indication', 'T04 Determine confirmation of receipt'), <InfixType.NOT_AN_INFIX: 4>)"
9,9,0.6640532863745185,0.9595593633888689,0.5077014538182998,True,"(('Confirmation of receipt', 'T02 Check confirmation of receipt', 'T06 Determine necessity of stop advice', 'T10 Determine necessity to stop indication', 'T04 Determine confirmation of receipt'), <InfixType.NOT_AN_INFIX: 4>)"
